stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h10_d05,VIXPercentileRaw,1,2229,253,0.6,0.31223878985364395,0.6859058404044132,0.7130353213213533,0.9500224315836698,0.4980237154150198,0.21428571428571427,1.2590112289818816,1.1000118432588628,126,43,253,45,crisis_2020,spx_full,False,0.6,0.5961538461538461,0.6112040133779264,1574,,0.6019377382465056,0.9104193138500636
h10_d05,VIXPercentileRaw,1,2229,253,0.6,0.31223878985364395,0.6859058404044132,0.7130353213213533,0.9500224315836698,0.4980237154150198,0.21428571428571427,1.2590112289818816,1.1000118432588628,126,43,253,46,crisis_2020,spx_full,False,0.6,0.5961538461538461,0.6112040133779264,1574,,0.6019377382465056,0.9104193138500636
h10_d05,VIXPercentileCalibrated,1,2229,253,0.5523809523809524,0.20062934295736257,0.14293115348477098,0.029906498885680272,0.13333333333333333,0.31620553359683795,0.225,1.5249500249577255,1.3342951742630291,80,43,253,42,crisis_2020,spx_full,False,0.5523809523809524,0.34615384615384615,0.5572045707915273,1574,,0.05445997341617612,0.08187134502923976
h10_d05,VIXPercentileCalibrated,1,2229,253,0.5523809523809524,0.20062934295736257,0.14293115348477098,0.029906498885680272,0.13333333333333333,0.31620553359683795,0.225,1.5249500249577255,1.3342951742630291,80,43,253,43,crisis_2020,spx_full,False,0.5523809523809524,0.34615384615384615,0.5572045707915273,1574,,0.05445997341617612,0.08187134502923976
h10_d05,VIXPercentileCalibrated,1,2229,253,0.5523809523809524,0.20062934295736257,0.14293115348477098,0.029906498885680272,0.13333333333333333,0.31620553359683795,0.225,1.5249500249577255,1.3342951742630291,80,43,253,44,crisis_2020,spx_full,False,0.5523809523809524,0.34615384615384615,0.5572045707915273,1574,,0.05445997341617612,0.08187134502923976
h10_d05,VIXPercentileCalibrated,1,2229,253,0.5523809523809524,0.20062934295736257,0.14293115348477098,0.029906498885680272,0.13333333333333333,0.31620553359683795,0.225,1.5249500249577255,1.3342951742630291,80,43,253,45,crisis_2020,spx_full,False,0.5523809523809524,0.34615384615384615,0.5572045707915273,1574,,0.05445997341617612,0.08187134502923976
h10_d05,VIXPercentileCalibrated,1,2229,253,0.5523809523809524,0.20062934295736257,0.14293115348477098,0.029906498885680272,0.13333333333333333,0.31620553359683795,0.225,1.5249500249577255,1.3342951742630291,80,43,253,46,crisis_2020,spx_full,False,0.5523809523809524,0.34615384615384615,0.5572045707915273,1574,,0.05445997341617612,0.08187134502923976
h10_d05,HarRvThreshold,1,2229,253,0.5827560613557645,0.33004248952772763,0.18131298687849473,0.14799917564365134,0.16171510280280088,0.30735930735930733,0.29577464788732394,1.7398081057551098,1.3070949816030377,71,43,231,42,crisis_2020,spx_full,False,0.5827560613557645,0.6634615384615385,0.5038363171355499,1574,,0.05337018929775342,0.23045948485542084
h10_d05,HarRvThreshold,1,2229,253,0.5827560613557645,0.33004248952772763,0.18131298687849473,0.14799917564365134,0.16171510280280088,0.30735930735930733,0.29577464788732394,1.7398081057551098,1.3070949816030377,71,43,231,43,crisis_2020,spx_full,False,0.5827560613557645,0.6634615384615385,0.5038363171355499,1574,,0.05337018929775342,0.23045948485542084
h10_d05,HarRvThreshold,1,2229,253,0.5827560613557645,0.33004248952772763,0.18131298687849473,0.14799917564365134,0.16171510280280088,0.30735930735930733,0.29577464788732394,1.7398081057551098,1.3070949816030377,71,43,231,44,crisis_2020,spx_full,False,0.5827560613557645,0.6634615384615385,0.5038363171355499,1574,,0.05337018929775342,0.23045948485542084
