crisis,configuration,stress_def,model,seed,n_train,n_test,auc,auc_full_window,auc_first30,auc_rest,pr_auc,brier,ece,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileRaw,46,251,505,0.6433084547644433,0.6433084547644433,0.034722222222222224,0.6573902288188003,0.4244804089933577,0.576965099249564,0.6141453986036054,0.4772277227722772,0.3775933609958506,1.2926953347713566,1.1255185314166671,241,138,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileCalibrated,42,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.2071877673878499,0.09271177117711776,0.0,,,,0,138,231,,0.18055555555555552,0.18055555555555555
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileCalibrated,43,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.2071877673878499,0.09271177117711776,0.0,,,,0,138,231,,0.18055555555555552,0.18055555555555555
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileCalibrated,44,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.2071877673878499,0.09271177117711776,0.0,,,,0,138,231,,0.18055555555555552,0.18055555555555555
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileCalibrated,45,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.2071877673878499,0.09271177117711776,0.0,,,,0,138,231,,0.18055555555555552,0.18055555555555555
crisis_2008,spx_crisis_2008,h20_d07,VIXPercentileCalibrated,46,251,505,0.5,0.5,0.5,0.5,0.2732673267326733,0.2071877673878499,0.09271177117711776,0.0,,,,0,138,231,,0.18055555555555552,0.18055555555555555
crisis_2008,spx_crisis_2008,h20_d07,HarRvThreshold,42,251,505,0.7064016230682897,0.7064016230682897,0.2716049382716049,0.708632405014834,0.4531959689423106,0.3716672110520948,0.42338350384550105,0.4451345755693582,0.4232558139534884,1.4259857516341656,1.1206932348601943,215,132,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h20_d07,HarRvThreshold,43,251,505,0.7064016230682897,0.7064016230682897,0.2716049382716049,0.708632405014834,0.4531959689423106,0.3716672110520948,0.42338350384550105,0.4451345755693582,0.4232558139534884,1.4259857516341656,1.1206932348601943,215,132,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h20_d07,HarRvThreshold,44,251,505,0.7064016230682897,0.7064016230682897,0.2716049382716049,0.708632405014834,0.4531959689423106,0.3716672110520948,0.42338350384550105,0.4451345755693582,0.4232558139534884,1.4259857516341656,1.1206932348601943,215,132,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h20_d07,HarRvThreshold,45,251,505,0.7064016230682897,0.7064016230682897,0.2716049382716049,0.708632405014834,0.4531959689423106,0.3716672110520948,0.42338350384550105,0.4451345755693582,0.4232558139534884,1.4259857516341656,1.1206932348601943,215,132,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h20_d07,HarRvThreshold,46,251,505,0.7064016230682897,0.7064016230682897,0.2716049382716049,0.708632405014834,0.4531959689423106,0.3716672110520948,0.42338350384550105,0.4451345755693582,0.4232558139534884,1.4259857516341656,1.1206932348601943,215,132,231,,0.4377769247890859,1.0
crisis_2008,spx_crisis_2008,h20_d07,LogisticRegressionL2,42,251,505,0.5361923942660822,0.5361923942660822,0.5208333333333333,0.5305901581411785,0.3067135646616468,0.4250193234997735,0.42054366228764317,0.44554455445544555,0.28444444444444444,1.1522373909631316,1.2156603519243634,225,138,231,,0.4824700184953413,0.9390666535891272
crisis_2008,spx_crisis_2008,h20_d07,LogisticRegressionL2,43,251,505,0.5361923942660822,0.5361923942660822,0.5208333333333333,0.5305901581411785,0.3067135646616468,0.4250193234997735,0.42054366228764317,0.44554455445544555,0.28444444444444444,1.1522373909631316,1.2156603519243634,225,138,231,,0.4824700184953413,0.9390666535891272
