corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
calendar_gaps,0.05,LogisticRegressionL2,pr_auc,-0.013338467030156688,-0.02251217183523871,-0.004028458900471005,0.07263901609012945,210
calendar_gaps,0.05,LogisticRegressionL2,brier,0.008506836385796874,0.0028336803910735437,0.013738297431074895,2.256641885972481e-10,450
calendar_gaps,0.05,LogisticRegressionL2,drawdown_lift,0.04690600963318373,-0.0350071093647693,0.12734636596976337,0.3753677037351886,330
calendar_gaps,0.05,LogisticRegressionL2,alarm_rate,0.008141557961540926,0.002030074377033894,0.014479951172857762,0.12741358182706666,450
calendar_gaps,0.05,LightGbmTuned,auc,-0.026485227639556186,-0.04093421617785751,-0.01225992871960392,0.002773194665103005,210
calendar_gaps,0.05,LightGbmTuned,pr_auc,0.0017861748798745556,-0.013451144735017646,0.015618521347051953,0.43214285004332764,210
calendar_gaps,0.05,LightGbmTuned,brier,0.006753779606430354,0.003758649613817718,0.009910056473504444,2.9395760788493363e-05,450
calendar_gaps,0.05,LightGbmTuned,drawdown_lift,0.040968096121497696,-0.07187102077951524,0.15330667511757884,0.9458969376699705,255
calendar_gaps,0.05,LightGbmTuned,alarm_rate,-0.0026249294864487383,-0.0060498588397984495,0.0007897879245571176,0.02544377873816596,450
calendar_gaps,0.1,LogisticRegressionL2,auc,-0.02712549436196527,-0.04171188919351709,-0.013021297641049546,0.0012483758542463572,200
calendar_gaps,0.1,LogisticRegressionL2,pr_auc,-0.009685460809398513,-0.020324395100592578,0.0005243923057114816,0.38627888793207077,200
calendar_gaps,0.1,LogisticRegressionL2,brier,0.018763018771446233,0.014252317992018327,0.02317758641951517,8.564164781106287e-14,435
calendar_gaps,0.1,LogisticRegressionL2,drawdown_lift,0.026393630428327815,-0.08558976420521867,0.13687253106346964,0.20396662355336748,315
calendar_gaps,0.1,LogisticRegressionL2,alarm_rate,0.014374316163989946,0.009149855274126258,0.019955456798817793,2.609356590474489e-07,435
calendar_gaps,0.1,LightGbmTuned,auc,0.013558982643060956,0.0010432700626433452,0.026419106884817314,0.08870586619169948,200
calendar_gaps,0.1,LightGbmTuned,pr_auc,0.043957071107430926,0.033548868454347375,0.05490047097487672,8.932764461734908e-14,200
calendar_gaps,0.1,LightGbmTuned,brier,0.007666860256593889,0.004123890614694625,0.011558907263038107,0.0006067051173127547,435
calendar_gaps,0.1,LightGbmTuned,drawdown_lift,-0.061588095693230704,-0.16061999473046717,0.03898481767511439,0.44774144316742126,255
calendar_gaps,0.1,LightGbmTuned,alarm_rate,0.007871942379110175,0.0027336823635676086,0.013586434316927515,0.002614541422392958,435
