asset,stress_def,drift_metric,operational_metric,spearman_rho,p_value,n_pairs
rut,h20_d07,n_high_drift,pr_auc,0.23559790808217448,1.4475374409995804e-08,565
rut,h20_d07,n_high_drift,drawdown_lift,0.2342726174178094,0.0015488655924366065,180
rut,h20_d07,n_high_drift,alarm_rate,0.09852130092483362,0.011327702862735255,660
rut,h20_d07,n_high_drift,alarm_rate_gap_abs,0.2915725478796543,2.120157610873049e-14,660
rut,h20_d07,n_high_drift,alarm_rate_gap_signed,0.09852130092483362,0.011327702862735255,660
rut,h5_d03,mean_psi,auc,-0.21230611162967414,7.460827398327833e-08,630
rut,h5_d03,mean_psi,pr_auc,0.03781910451418153,0.34327920157005776,630
rut,h5_d03,mean_psi,drawdown_lift,0.2029466835218329,0.006288625658401296,180
rut,h5_d03,mean_psi,alarm_rate,0.06190255898990387,0.11210218431350662,660
rut,h5_d03,mean_psi,alarm_rate_gap_abs,0.21507094309270575,2.402019987633174e-08,660
rut,h5_d03,mean_psi,alarm_rate_gap_signed,0.06190255898990387,0.11210218431350662,660
rut,h5_d03,max_psi,auc,-0.23311052134364016,3.196553628816552e-09,630
rut,h5_d03,max_psi,pr_auc,0.025134659741440323,0.5288767736256382,630
rut,h5_d03,max_psi,drawdown_lift,0.12827883942532148,0.0861348343645747,180
rut,h5_d03,max_psi,alarm_rate,0.024888863666156898,0.5232827660890005,660
rut,h5_d03,max_psi,alarm_rate_gap_abs,0.12692121969081935,0.0010842208708218863,660
rut,h5_d03,max_psi,alarm_rate_gap_signed,0.024888863666156898,0.5232827660890005,660
rut,h5_d03,mean_kl,auc,-0.16455710183477293,3.3178671560517306e-05,630
rut,h5_d03,mean_kl,pr_auc,0.0906289164870572,0.022909924974484956,630
rut,h5_d03,mean_kl,drawdown_lift,0.2001046548537996,0.0070753313929018645,180
rut,h5_d03,mean_kl,alarm_rate,0.08347557083536893,0.03201650569605857,660
rut,h5_d03,mean_kl,alarm_rate_gap_abs,0.22178254677796155,8.473218523104226e-09,660
rut,h5_d03,mean_kl,alarm_rate_gap_signed,0.08347557083536893,0.03201650569605857,660
rut,h5_d03,max_kl,auc,-0.1690719476928385,1.9901507119801028e-05,630
rut,h5_d03,max_kl,pr_auc,-0.005026931948288064,0.8997911267519992,630
rut,h5_d03,max_kl,drawdown_lift,0.17917698920737252,0.016098555494104785,180
rut,h5_d03,max_kl,alarm_rate,-0.0019375760638982499,0.9603750677732873,660
rut,h5_d03,max_kl,alarm_rate_gap_abs,0.13792745073420015,0.00037984968241340435,660
rut,h5_d03,max_kl,alarm_rate_gap_signed,-0.0019375760638982499,0.9603750677732873,660
rut,h5_d03,n_high_drift,auc,-0.08859763917119753,0.026165858613218525,630
rut,h5_d03,n_high_drift,pr_auc,0.08845751259873327,0.026404495645727475,630
rut,h5_d03,n_high_drift,drawdown_lift,0.2290801263601686,0.0019797000546252306,180
rut,h5_d03,n_high_drift,alarm_rate,0.1277530902422059,0.0010043614969105327,660
rut,h5_d03,n_high_drift,alarm_rate_gap_abs,0.27278497176049554,1.0011366304292e-12,660
rut,h5_d03,n_high_drift,alarm_rate_gap_signed,0.1277530902422059,0.0010043614969105327,660
